evento_id;_CarrierDelay;_WeatherDelay;_NASDelay
1;1440.0;6;
2;190.0;1;6.00
3;190.0;1;
4;190.0;1;153.00
5;190.0;1;4.00
6;190.0;1;0.00
7;190.0;1;20.00
8;190.0;1;18.00
9;190.0;1;60.00
10;190.0;1;215.00
11;430.0;2;
12;430.0;2;995.00
13;430.0;2;0.00
14;258.0;2;
15;468.0;2;
16;468.0;2;0.00
17;468.0;2;4.00
18;468.0;2;17.00
19;862.0;4;
20;862.0;4;0.00
21;2153.0;9;
22;2153.0;9;10.00
23;2153.0;9;12.00
24;2153.0;9;5.00
25;2153.0;9;0.00
26;742.0;3;
27;2133.0;9;12.00
28;2133.0;9;0.00
29;2133.0;9;
30;2133.0;9;68.00
31;2133.0;9;42.00
32;2133.0;9;20.00
33;1021.0;5;
34;1021.0;5;15.00
35;1021.0;5;43.00
36;1021.0;5;34.00
37;1021.0;5;0.00
38;929.0;4;
39;2165.0;9;
40;2165.0;9;0.00
41;2165.0;9;2.00
42;2165.0;9;32.00
43;1103.0;5;
44;1103.0;5;29.00
45;641.0;3;
46;985.0;4;
47;985.0;4;67.00
48;985.0;4;102.00
49;985.0;4;2.00
50;985.0;4;1.00
51;985.0;4;38.00
52;985.0;4;0.00
53;190.0;1;10.00
54;190.0;1;2.00
55;868.0;4;
56;110.0;1;
57;227.0;1;
58;227.0;1;0.00
59;110.0;1;0.00
60;1389.0;6;
61;1389.0;6;0.00
62;1440.0;6;0.00
63;1440.0;6;6.00
64;1440.0;6;11.00
65;1440.0;6;10.00
66;1440.0;6;1.00
67;1440.0;6;7.00
68;1744.0;7;
69;1744.0;7;0.00
70;1744.0;7;6.00
71;1744.0;7;9.00
72;1744.0;7;252.00
73;1205.0;5;
74;1205.0;5;5.00
75;1205.0;5;1.00
76;1205.0;5;3.00
77;1205.0;5;0.00
78;1846.0;8;0.00
79;1846.0;8;21.00
80;1846.0;8;1.00
81;2527.0;11;
82;2527.0;11;0.00
83;2527.0;11;14.00
84;1143.0;5;
85;1143.0;5;16.00
86;1143.0;5;0.00
87;1061.0;5;
88;1061.0;5;3.00
89;1061.0;5;16.00
90;1061.0;5;0.00
91;993.0;4;
92;993.0;4;16.00
93;993.0;4;8.00
94;449.0;2;
95;1021.0;5;42.00
96;1021.0;5;2.00
97;1021.0;5;72.00
98;1389.0;6;10.00
99;1389.0;6;38.00
100;650.0;3;
101;650.0;3;6.00
102;1089.0;5;
103;1089.0;5;0.00
104;1089.0;5;3.00
105;1089.0;5;16.00
106;1089.0;5;6.00
107;1089.0;5;30.00
108;1171.0;5;
