origen_airport_id;_Origin;_OriginCityName;_OriginState
1;"PHX";"Phoenix; AZ"
2;"AUS";"Austin; TX"
3;"DFW";"Dallas/Fort Worth; TX"
4;"CLE";"Cleveland; OH"
5;"CLT";"Charlotte; NC"
6;"ORD";"Chicago; IL"
7;"GSP";"Greer; SC"
8;"JFK";"New York; NY"
9;"JAX";"Jacksonville; FL"
10;"SJU";"San Juan; PR"
11;"TPA";"Tampa; FL"
12;"DEN";"Denver; CO"
13;"MCO";"Orlando; FL"
14;"RDU";"Raleigh/Durham; NC"
15;"TUS";"Tucson; AZ"
16;"LGA";"New York; NY"
17;"LAX";"Los Angeles; CA"
18;"SNA";"Santa Ana; CA"
19;"SFO";"San Francisco; CA"
20;"BDL";"Hartford; CT"
21;"SAT";"San Antonio; TX"
22;"RSW";"Fort Myers; FL"
23;"SAN";"San Diego; CA"
24;"OAK";"Oakland; CA"
25;"MIA";"Miami; FL"
26;"IAH";"Houston; TX"
27;"RNO";"Reno; NV"
28;"ORF";"Norfolk; VA"
29;"FLL";"Fort Lauderdale; FL"
30;"MSY";"New Orleans; LA"
31;"STL";"St. Louis; MO"
32;"MCI";"Kansas City; MO"
33;"DCA";"Washington; DC"
34;"PIT";"Pittsburgh; PA"
35;"PHL";"Philadelphia; PA"
36;"ATL";"Atlanta; GA"
37;"PBI";"West Palm Beach/Palm Beach; FL"
38;"BWI";"Baltimore; MD"
39;"DTW";"Detroit; MI"
40;"BOS";"Boston; MA"
41;"MEM";"Memphis; TN"
42;"LAS";"Las Vegas; NV"
43;"PNS";"Pensacola; FL"
44;"SLC";"Salt Lake City; UT"
45;"SEA";"Seattle; WA"
46;"LBB";"Lubbock; TX"
47;"PVD";"Providence; RI"
48;"SMF";"Sacramento; CA"
49;"ONT";"Ontario; CA"
50;"MSP";"Minneapolis; MN"
51;"PSP";"Palm Springs; CA"
52;"CHS";"Charleston; SC"
53;"FAT";"Fresno; CA"
54;"SRQ";"Sarasota/Bradenton; FL"
55;"BNA";"Nashville; TN"
56;"OMA";"Omaha; NE"
57;"ELP";"El Paso; TX"
58;"BOI";"Boise; ID"
59;"IND";"Indianapolis; IN"
60;"BUF";"Buffalo; NY"
61;"CMH";"Columbus; OH"
62;"DSM";"Des Moines; IA"
63;"IAD";"Washington; DC"
64;"MKE";"Milwaukee; WI"
65;"SDF";"Louisville; KY"
66;"JAC";"Jackson; WY"
67;"MFE";"Mission/McAllen/Edinburg; TX"
68;"PDX";"Portland; OR"
69;"ILM";"Wilmington; NC"
70;"EWR";"Newark; NJ"
71;"RIC";"Richmond; VA"
72;"EGE";"Eagle; CO"
73;"GSO";"Greensboro/High Point; NC"
74;"ABQ";"Albuquerque; NM"
75;"XNA";"Fayetteville; AR"
76;"SJC";"San Jose; CA"
77;"COS";"Colorado Springs; CO"
78;"MTJ";"Montrose/Delta; CO"
79;"BUR";"Burbank; CA"
80;"MAF";"Midland/Odessa; TX"
81;"BZN";"Bozeman; MT"
82;"GEG";"Spokane; WA"
83;"OGG";"Kahului; HI"
84;"SBA";"Santa Barbara; CA"
85;"TUL";"Tulsa; OK"
86;"KOA";"Kona; HI"
87;"LIH";"Lihue; HI"
88;"HNL";"Honolulu; HI"
89;"GRR";"Grand Rapids; MI"
90;"PWM";"Portland; ME"
91;"SYR";"Syracuse; NY"
92;"SAV";"Savannah; GA"
93;"BHM";"Birmingham; AL"
94;"FAR";"Fargo; ND"
95;"LIT";"Little Rock; AR"
96;"CVG";"Cincinnati; OH"
97;"MDT";"Harrisburg; PA"
98;"MSN";"Madison; WI"
99;"ICT";"Wichita; KS"
100;"STT";"Charlotte Amalie; VI"
101;"HDN";"Hayden; CO"
102;"STX";"Christiansted; VI"
103;"VPS";"Valparaiso; FL"
104;"EYW";"Key West; FL"
105;"MYR";"Myrtle Beach; SC"
106;"OKC";"Oklahoma City; OK"
107;"AMA";"Amarillo; TX"
108;"ALB";"Albany; NY"
109;"CAE";"Columbia; SC"
110;"GUC";"Gunnison; CO"
111;"ITH";"Ithaca/Cortland; NY"
112;"LYH";"Lynchburg; VA"
113;"ROC";"Rochester; NY"
114;"HTS";"Ashland; WV"
115;"TYS";"Knoxville; TN"
116;"MHT";"Manchester; NH"
117;"MGM";"Montgomery; AL"
118;"LEX";"Lexington; KY"
119;"ABE";"Allentown/Bethlehem/Easton; PA"
120;"SWF";"Newburgh/Poughkeepsie; NY"
121;"MOB";"Mobile; AL"
122;"PHF";"Newport News/Williamsburg; VA"
123;"FLO";"Florence; SC"
124;"CHO";"Charlottesville; VA"
125;"AVP";"Scranton/Wilkes-Barre; PA"
126;"ROA";"Roanoke; VA"
127;"SCE";"State College; PA"
128;"AGS";"Augusta; GA"
129;"IPT";"Williamsport; PA"
130;"SBY";"Salisbury; MD"
131;"OAJ";"Jacksonville/Camp Lejeune; NC"
132;"TRI";"Bristol/Johnson City/Kingsport; TN"
133;"ERI";"Erie; PA"
134;"FWA";"Fort Wayne; IN"
135;"ART";"Watertown; NY"
136;"ISP";"Islip; NY"
137;"PGV";"Greenville; NC"
138;"AVL";"Asheville; NC"
139;"STS";"Santa Rosa; CA"
140;"EUG";"Eugene; OR"
141;"EVV";"Evansville; IN"
142;"ORH";"Worcester; MA"
143;"BGR";"Bangor; ME"
144;"CAK";"Akron; OH"
145;"FAY";"Fayetteville; NC"
146;"BTV";"Burlington; VT"
147;"JAN";"Jackson/Vicksburg; MS"
148;"TOL";"Toledo; OH"
149;"BRO";"Brownsville; TX"
150;"HOU";"Houston; TX"
151;"HSV";"Huntsville; AL"
152;"COU";"Columbia; MO"
153;"HVN";"New Haven; CT"
154;"DAB";"Daytona Beach; FL"
155;"HHH";"Hilton Head; SC"
156;"BTR";"Baton Rouge; LA"
157;"FSD";"Sioux Falls; SD"
158;"GJT";"Grand Junction; CO"
159;"RAP";"Rapid City; SD"
160;"CRP";"Corpus Christi; TX"
161;"GRK";"Killeen; TX"
162;"DAY";"Dayton; OH"
163;"GRB";"Green Bay; WI"
